500.1	335.438	0.801304
510	942.362	1.36967
500	160.145	0.553173
495	162.527	0.551977
490	140.143	0.507779
485	312.115	0.74931
480	246.87	0.671611
475	313.823	0.750296
470	219.402	0.620479
465	269.147	0.679762
460	218.989	0.606892
455	152.002	0.501456
450	291.894	0.685252
445	227.523	0.599649
440	198.777	0.554157
435	236.215	0.597036
430	168.679	0.498456
425	275.468	0.63006
420	181.656	0.505945
415	217.491	0.546551
410	234.917	0.562424
405	222.205	0.540997
400	209.681	0.519627
399	158.05	0.449767
398	213.51	0.521793
397	200.063	0.503915
396	203.333	0.506078
395	203.031	0.505706
394	205.804	0.508399
393	210.574	0.514128
392.5	196.549	0.495185
392	154.324	0.438437
391.5	212.236	0.51317
391	151.556	0.432919
390.5	151.727	0.432604
390	159.964	0.444626
389.5	171.898	0.460303
389	199.6	0.495546
388.5	124.881	0.391837
388	169.916	0.457267
387.5	126.464	0.393138
387	143.787	0.419199
386	196.396	0.489911
384	219.804	0.514431
382	151.766	0.426078
380	163.656	0.441781
378	128.653	0.390825
376	137.955	0.401705
374	147.221	0.414222
372	135.089	0.396531
370	122.908	0.375815
368	228.696	0.511519
366	151.504	0.414499
364	91.2474	0.320305
362	104.17	0.34212
360	87.1734	0.311303
355	92.6285	0.315247
350	256.569	0.516011
345	190.978	0.440077
340	77.2869	0.2748
335	81.9639	0.278922
330	76.8622	0.265628
325	80.7475	0.268617
320	76.0728	0.256506
315	76.3473	0.253081
310	71.8221	0.240459
305	63.7527	0.223312
300	81.9209	0.248982
295	49.4023	0.19054
290	75.1431	0.23022
285	57.9092	0.198808
280	38.6234	0.158944
274	509.633	0.565793
0	0	0		
345	144.84	0.383612
350	84.6049	0.298958
355	154.88	0.410518
360	2006.17	1.50448
362	589.064	0.816667
364	114.1	0.360652
366	106.518	0.348607
368	120.851	0.368891
375	5230.88	2.46605
455	1145.2	1.3722
465	1048.96	1.34107
492	510.862	0.970813
501	519.365	0.996744
503	1232.43	1.54306
505	454.856	0.94111
508	548.972	1.0394
508.5	1395.09	1.6559
509	979.506	1.38908
509.5	2621.62	2.27821
510	2041.31	2.01353
510.5	1053.46	1.44786
511	780.307	1.24862
511.5	561.27	1.06109
514	520.924	1.02696
517	538.229	1.05109
520	489.344	1.00552
525	601.459	1.12523
530	544.663	1.08181
550	1229.37	1.68325
575	1029.98	1.61229
600	1641.68	2.12511
460	995.21	1.29574
380	320.757	0.616173
387.5	772.659	0.970976
389	1241.53	1.23377
390.5	3637.37	2.12058
391.5	4962.19	2.4825
392.5	3968.26	2.22592
394	1069.15	1.15888
396	597.002	0.868389
340	2216.09	1.46415
